Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2025-01-11 07:00,MR TP1 | IN:MR | OUT:MR,94578,0.2,19045.8,-130.2,-0.68,0,113.6,0.60,-600.4,-3.15,-130.2,-0.13,14
1,Entry long,2025-01-10 17:00,MR-L | IN:MR,95229,0.2,19045.8,-130.2,-0.68,0,113.6,0.60,-600.4,-3.15,-130.2,-0.13,14
2,Exit long,2025-01-12 15:00,RUN EXIT | IN:MR | OUT:MR,94107,0.8,76183.2,-897.6,-1.18,0,454.4,0.60,-2401.6,-3.15,-1027.8,-1.03,46
2,Entry long,2025-01-10 17:00,MR-L | IN:MR,95229,0.8,76183.2,-897.6,-1.18,0,454.4,0.60,-2401.6,-3.15,-1027.8,-1.03,46
3,Exit short,2025-01-13 07:00,MR FAIL | IN:MR | OUT:MR,95288,1,93880,-1408,-1.50,0,0,0.00,-1966,-2.09,-2435.8,-2.44,2
3,Entry short,2025-01-13 05:00,MR-S | IN:MR,93880,1,93880,-1408,-1.50,0,0,0.00,-1966,-2.09,-2435.8,-2.44,2
4,Exit short,2025-01-13 13:00,MR TP1 | IN:MR | OUT:MR,93538,0.2,18834.6,127,0.67,0,186.8,0.99,-131,-0.70,-2308.8,-2.31,4
4,Entry short,2025-01-13 09:00,MR-S | IN:MR,94173,0.2,18834.6,127,0.67,0,186.8,0.99,-131,-0.70,-2308.8,-2.31,4
5,Exit short,2025-01-14 06:00,RUN EXIT | IN:MR | OUT:MR,94505,0.8,75338.4,-265.6,-0.35,0,4007.2,5.32,-524,-0.70,-2574.4,-2.57,21
5,Entry short,2025-01-13 09:00,MR-S | IN:MR,94173,0.8,75338.4,-265.6,-0.35,0,4007.2,5.32,-524,-0.70,-2574.4,-2.57,21
6,Exit short,2025-01-15 19:00,Margin call,97127,0.004132,399.680096,-1.65,-0.41,0,0.88,0.22,-1.65,-0.41,-2576.05,-2.58,1
6,Entry short,2025-01-15 18:00,MR-S | IN:MR,96728,0.004132,399.680096,-1.65,-0.41,0,0.88,0.22,-1.65,-0.41,-2576.05,-2.58,1
7,Exit short,2025-01-15 20:00,Margin call,99026,0.140624,13602.27827,-323.15,-2.38,0,29.81,0.22,-323.15,-2.38,-2899.2,-2.90,2
7,Entry short,2025-01-15 18:00,MR-S | IN:MR,96728,0.140624,13602.27827,-323.15,-2.38,0,29.81,0.22,-323.15,-2.38,-2899.2,-2.90,2
8,Exit short,2025-01-15 20:00,MR FAIL | IN:MR | OUT:MR,98938,0.855244,82726.04163,-1890.09,-2.28,0,181.31,0.22,-1965.35,-2.38,-4789.29,-4.79,2
8,Entry short,2025-01-15 18:00,MR-S | IN:MR,96728,0.855244,82726.04163,-1890.09,-2.28,0,181.31,0.22,-1965.35,-2.38,-4789.29,-4.79,2
9,Exit long,2025-02-27 03:00,MR FAIL | IN:TREND | OUT:MR,84217,1,88822,-4605,-5.18,0,564,0.63,-6689,-7.53,-9394.29,-9.39,31
9,Entry long,2025-02-25 20:00,MR-L | IN:TREND,88822,1,88822,-4605,-5.18,0,564,0.63,-6689,-7.53,-9394.29,-9.39,31
10,Exit long,2025-02-28 03:00,MR FAIL | IN:HYBRID | OUT:MR,83345,1,85986,-2641,-3.07,0,1002,1.17,-3371,-3.92,-12035.29,-12.04,12
10,Entry long,2025-02-27 15:00,MR-L | IN:HYBRID,85986,1,85986,-2641,-3.07,0,1002,1.17,-3371,-3.92,-12035.29,-12.04,12
11,Exit long,2025-03-01 16:00,MR TP1 | IN:MR | OUT:TREND,85374,0.2,16870.2,204.6,1.21,0,433.2,2.57,-234.2,-1.39,-11830.69,-11.83,17
11,Entry long,2025-02-28 23:00,MR-L | IN:MR,84351,0.2,16870.2,204.6,1.21,0,433.2,2.57,-234.2,-1.39,-11830.69,-11.83,17
12,Exit long,2025-03-03 21:00,RUN EXIT | IN:MR | OUT:HYBRID,89179,0.8,67480.8,3862.4,5.72,0,8640.8,12.80,-936.8,-1.39,-7968.29,-7.97,70
12,Entry long,2025-02-28 23:00,MR-L | IN:MR,84351,0.8,67480.8,3862.4,5.72,0,8640.8,12.80,-936.8,-1.39,-7968.29,-7.97,70
13,Exit long,2025-03-05 19:00,MR TP1 | IN:MR | OUT:TREND,90360,0.2,17501.2,570.8,3.26,0,682.2,3.90,-221.8,-1.27,-7397.49,-7.40,15
