Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2025-01-12 07:00,MR TP1 | IN:MR | OUT:HYBRID,3281.92,0.2,662.052,-5.67,-0.86,0,2.33,0.35,-23.17,-3.50,-5.67,-0.01,36
1,Entry long,2025-01-10 19:00,MR-L | IN:MR,3310.26,0.2,662.052,-5.67,-0.86,0,2.33,0.35,-23.17,-3.50,-5.67,-0.01,36
2,Exit long,2025-01-12 17:00,RUN EXIT | IN:MR | OUT:MR,3243.13,0.8,2648.208,-53.7,-2.03,0,9.32,0.35,-92.69,-3.50,-59.37,-0.06,46
2,Entry long,2025-01-10 19:00,MR-L | IN:MR,3310.26,0.8,2648.208,-53.7,-2.03,0,9.32,0.35,-92.69,-3.50,-59.37,-0.06,46
3,Exit long,2025-01-13 01:00,MR TP1 | IN:MR | OUT:MR,3283.17,0.2,657.306,-0.67,-0.10,0,2.33,0.36,-1.52,-0.23,-60.04,-0.06,1
3,Entry long,2025-01-13 00:00,MR-L | IN:MR,3286.53,0.2,657.306,-0.67,-0.10,0,2.33,0.36,-1.52,-0.23,-60.04,-0.06,1
4,Exit long,2025-01-13 05:00,RUN EXIT | IN:MR | OUT:MR,3238.8,0.8,2629.224,-38.18,-1.45,0,9.34,0.36,-43.02,-1.64,-98.23,-0.10,5
4,Entry long,2025-01-13 00:00,MR-L | IN:MR,3286.53,0.8,2629.224,-38.18,-1.45,0,9.34,0.36,-43.02,-1.64,-98.23,-0.10,5
5,Exit long,2025-01-15 03:00,MR TP1 | IN:MR | OUT:HYBRID,3221.28,0.2,627.614,16.64,2.65,0,23.68,3.77,-1.41,-0.22,-81.59,-0.08,19
5,Entry long,2025-01-14 08:00,MR-L | IN:MR,3138.07,0.2,627.614,16.64,2.65,0,23.68,3.77,-1.41,-0.22,-81.59,-0.08,19
6,Exit long,2025-01-16 16:00,RUN EXIT | IN:MR | OUT:HYBRID,3335.4,0.8,2510.456,157.86,6.29,0,269.66,10.74,-5.65,-0.22,76.28,0.08,56
6,Entry long,2025-01-14 08:00,MR-L | IN:MR,3138.07,0.8,2510.456,157.86,6.29,0,269.66,10.74,-5.65,-0.22,76.28,0.08,56
7,Exit short,2025-01-18 20:00,MR TP1 | IN:MR | OUT:HYBRID,3321.76,0.2,658.75,-5.6,-0.85,0,13.89,2.11,-8.96,-1.36,70.68,0.07,8
7,Entry short,2025-01-18 12:00,MR-S | IN:MR,3293.75,0.2,658.75,-5.6,-0.85,0,13.89,2.11,-8.96,-1.36,70.68,0.07,8
8,Exit short,2025-01-19 22:00,RUN EXIT | IN:MR | OUT:MR,3378.61,0.8,2635,-67.89,-2.58,0,134.64,5.11,-101.54,-3.85,2.79,0.00,34
8,Entry short,2025-01-18 12:00,MR-S | IN:MR,3293.75,0.8,2635,-67.89,-2.58,0,134.64,5.11,-101.54,-3.85,2.79,0.00,34
9,Exit short,2025-01-21 08:00,MR TP1 | IN:MR | OUT:MR,3246.74,0.2,644.492,-4.86,-0.75,0,4.3,0.67,-6.85,-1.06,-2.07,0.00,1
9,Entry short,2025-01-21 07:00,MR-S | IN:MR,3222.46,0.2,644.492,-4.86,-0.75,0,4.3,0.67,-6.85,-1.06,-2.07,0.00,1
10,Exit short,2025-01-21 23:00,RUN EXIT | IN:MR | OUT:MR,3312.21,0.8,2577.968,-71.8,-2.79,0,17.18,0.67,-100.42,-3.90,-73.87,-0.07,16
10,Entry short,2025-01-21 07:00,MR-S | IN:MR,3222.46,0.8,2577.968,-71.8,-2.79,0,17.18,0.67,-100.42,-3.90,-73.87,-0.07,16
11,Exit short,2025-01-23 00:00,MR TP1 | IN:MR | OUT:MR,3285,0.2,656.64,-0.36,-0.05,0,4.73,0.72,-5.74,-0.87,-74.23,-0.07,4
11,Entry short,2025-01-22 20:00,MR-S | IN:MR,3283.2,0.2,656.64,-0.36,-0.05,0,4.73,0.72,-5.74,-0.87,-74.23,-0.07,4
12,Exit short,2025-01-24 00:00,RUN EXIT | IN:MR | OUT:MR,3266.94,0.8,2626.56,13.01,0.50,0,81.01,3.08,-22.96,-0.87,-61.22,-0.06,28
12,Entry short,2025-01-22 20:00,MR-S | IN:MR,3283.2,0.8,2626.56,13.01,0.50,0,81.01,3.08,-22.96,-0.87,-61.22,-0.06,28
13,Exit short,2025-01-26 11:00,MR FAIL | IN:MR | OUT:HYBRID,3351.47,1,3309.72,-41.75,-1.26,0,40.66,1.23,-51.44,-1.55,-102.97,-0.10,29
13,Entry short,2025-01-25 06:00,MR-S | IN:MR,3309.72,1,3309.72,-41.75,-1.26,0,40.66,1.23,-51.44,-1.55,-102.97,-0.10,29
14,Exit long,2025-01-26 16:00,TF EXIT | IN:HYBRID | OUT:HYBRID,3298.36,1,3351.47,-53.11,-1.58,0,1.66,0.05,-58.45,-1.74,-156.08,-0.16,5
