Trade number,Type,Date and time,Signal,Price CAD,Size (qty),Size (value),Net PnL CAD,Return %,Commission CAD,Favorable excursion CAD,Favorable excursion %,Adverse excursion CAD,Adverse excursion %,Cumulative PnL CAD,Cumulative PnL %,Duration (bars)
1,Exit short,2025-01-16 18:00,MR FAIL | IN:MR | OUT:MR,1.47882,1,1.47442,-0.004,-0.30,0,0.0004,0.02,-0.01,-0.40,-0.004,0.00,19
1,Entry short,2025-01-15 23:00,MR-S | IN:MR,1.47442,1,1.47442,-0.004,-0.30,0,0.0004,0.02,-0.01,-0.40,-0.004,0.00,19
2,Exit short,2025-01-21 07:00,MR FAIL | IN:TREND | OUT:MR,1.49807,1,1.49136,-0.01,-0.45,0,0.004,0.28,-0.01,-0.92,-0.01,0.00,9
2,Entry short,2025-01-20 22:00,MR-S | IN:TREND,1.49136,1,1.49136,-0.01,-0.45,0,0.004,0.28,-0.01,-0.92,-0.01,0.00,9
3,Exit short,2025-01-24 14:00,MR FAIL | IN:MR | OUT:MR,1.5005,1,1.49463,-0.01,-0.39,0,0.004,0.23,-0.01,-0.42,-0.02,0.00,61
3,Entry short,2025-01-22 01:00,MR-S | IN:MR,1.49463,1,1.49463,-0.01,-0.39,0,0.004,0.23,-0.01,-0.42,-0.02,0.00,61
4,Exit short,2025-01-27 21:00,MR FAIL | IN:MR | OUT:MR,1.51112,1,1.50404,-0.01,-0.47,0,0.0001,0.01,-0.01,-0.60,-0.02,0.00,8
4,Entry short,2025-01-27 13:00,MR-S | IN:MR,1.50404,1,1.50404,-0.01,-0.47,0,0.0001,0.01,-0.01,-0.60,-0.02,0.00,8
5,Exit short,2025-01-28 20:00,MR TP1 | IN:MR | OUT:TREND,1.50136,0.2,0.301652,0.001,0.46,0,0.002,0.50,-0.0001,-0.04,-0.02,0.00,19
5,Entry short,2025-01-28 01:00,MR-S | IN:MR,1.50826,0.2,0.301652,0.001,0.46,0,0.002,0.50,-0.0001,-0.04,-0.02,0.00,19
6,Exit short,2025-01-29 21:00,RUN EXIT | IN:MR | OUT:MR,1.50195,0.8,1.206608,0.01,0.42,0,0.01,0.61,-0.0005,-0.04,-0.02,0.00,44
6,Entry short,2025-01-28 01:00,MR-S | IN:MR,1.50826,0.8,1.206608,0.01,0.42,0,0.01,0.61,-0.0005,-0.04,-0.02,0.00,44
7,Exit long,2025-01-31 01:00,MR FAIL | IN:MR | OUT:MR,1.50116,1,1.50315,-0.002,-0.13,0,0.001,0.08,-0.002,-0.16,-0.02,0.00,4
7,Entry long,2025-01-30 21:00,MR-L | IN:MR,1.50315,1,1.50315,-0.002,-0.13,0,0.001,0.08,-0.002,-0.16,-0.02,0.00,4
8,Exit long,2025-01-31 04:00,MR TP1 | IN:MR | OUT:MR,1.50626,0.2,0.300578,0.001,0.22,0,0.003,0.96,-0.0001,-0.02,-0.02,0.00,2
8,Entry long,2025-01-31 02:00,MR-L | IN:MR,1.50289,0.2,0.300578,0.001,0.22,0,0.003,0.96,-0.0001,-0.02,-0.02,0.00,2
9,Exit long,2025-02-01 00:00,RUN EXIT | IN:MR | OUT:MR,1.50054,0.8,1.202312,-0.002,-0.16,0,0.01,0.96,-0.004,-0.31,-0.02,0.00,22
9,Entry long,2025-01-31 02:00,MR-L | IN:MR,1.50289,0.8,1.202312,-0.002,-0.16,0,0.01,0.96,-0.004,-0.31,-0.02,0.00,22
10,Exit short,2025-02-04 02:00,MR TP1 | IN:MR | OUT:MR,1.49888,0.2,0.3006,0.001,0.27,0,0.001,0.48,-0.001,-0.35,-0.02,0.00,9
10,Entry short,2025-02-03 17:00,MR-S | IN:MR,1.503,0.2,0.3006,0.001,0.27,0,0.001,0.48,-0.001,-0.35,-0.02,0.00,9
11,Exit short,2025-02-05 03:00,RUN EXIT | IN:MR | OUT:MR,1.48686,0.8,1.2024,0.01,1.07,0,0.01,1.21,-0.004,-0.35,-0.01,0.00,34
11,Entry short,2025-02-03 17:00,MR-S | IN:MR,1.503,0.8,1.2024,0.01,1.07,0,0.01,1.21,-0.004,-0.35,-0.01,0.00,34
12,Exit long,2025-02-07 22:00,MR FAIL | IN:HYBRID | OUT:HYBRID,1.48088,1,1.48622,-0.01,-0.36,0,0.002,0.15,-0.01,-0.43,-0.01,0.00,10
12,Entry long,2025-02-07 12:00,MR-L | IN:HYBRID,1.48622,1,1.48622,-0.01,-0.36,0,0.002,0.15,-0.01,-0.43,-0.01,0.00,10
13,Exit short,2025-02-10 20:00,TF EXIT | IN:HYBRID | OUT:MR,1.47976,1,1.48088,0.001,0.08,0,0.01,0.44,-0.001,-0.05,-0.01,0.00,22
13,Entry short,2025-02-07 22:00,TF-S | IN:HYBRID,1.48088,1,1.48088,0.001,0.08,0,0.01,0.44,-0.001,-0.05,-0.01,0.00,22
14,Exit long,2025-02-11 01:00,MR FAIL | IN:MR | OUT:MR,1.47532,1,1.47976,-0.004,-0.30,0,0.0003,0.02,-0.005,-0.32,-0.02,0.00,5
14,Entry long,2025-02-10 20:00,MR-L | IN:MR,1.47976,1,1.47976,-0.004,-0.30,0,0.0003,0.02,-0.005,-0.32,-0.02,0.00,5
15,Exit long,2025-02-12 09:00,MR TP1 | IN:MR | OUT:HYBRID,1.48016,0.2,0.295346,0.001,0.23,0,0.001,0.39,-0.0002,-0.06,-0.02,0.00,25
15,Entry long,2025-02-11 08:00,MR-L | IN:MR,1.47673,0.2,0.295346,0.001,0.23,0,0.001,0.39,-0.0002,-0.06,-0.02,0.00,25
16,Exit long,2025-02-13 21:00,RUN EXIT | IN:MR | OUT:MR,1.4837,0.8,1.181384,0.01,0.47,0,0.01,0.89,-0.001,-0.06,-0.01,0.00,61
16,Entry long,2025-02-11 08:00,MR-L | IN:MR,1.47673,0.8,1.181384,0.01,0.47,0,0.01,0.89,-0.001,-0.06,-0.01,0.00,61
17,Exit short,2025-02-18 15:00,MR TP1 | IN:MR | OUT:MR,1.48413,0.2,0.297376,0.001,0.18,0,0.001,0.20,-0.0002,-0.07,-0.01,0.00,21
17,Entry short,2025-02-17 18:00,MR-S | IN:MR,1.48688,0.2,0.297376,0.001,0.18,0,0.001,0.20,-0.0002,-0.07,-0.01,0.00,21
18,Exit short,2025-02-19 22:00,RUN EXIT | IN:MR | OUT:MR,1.48234,0.8,1.189504,0.004,0.31,0,0.01,0.45,-0.001,-0.07,-0.01,0.00,52
18,Entry short,2025-02-17 18:00,MR-S | IN:MR,1.48688,0.8,1.189504,0.004,0.31,0,0.01,0.45,-0.001,-0.07,-0.01,0.00,52
19,Exit short,2025-02-24 07:00,MR FAIL | IN:MR | OUT:MR,1.49166,1,1.48528,-0.01,-0.43,0,0.001,0.10,-0.01,-0.45,-0.01,0.00,12
19,Entry short,2025-02-21 19:00,MR-S | IN:MR,1.48528,1,1.48528,-0.01,-0.43,0,0.001,0.10,-0.01,-0.45,-0.01,0.00,12
20,Exit short,2025-02-25 03:00,MR FAIL | IN:MR | OUT:MR,1.49262,1,1.48782,-0.005,-0.32,0,0.001,0.05,-0.01,-0.37,-0.02,0.00,8
20,Entry short,2025-02-24 19:00,MR-S | IN:MR,1.48782,1,1.48782,-0.005,-0.32,0,0.001,0.05,-0.01,-0.37,-0.02,0.00,8
21,Exit short,2025-02-28 12:00,MR TP1 | IN:TREND | OUT:MR,1.50016,0.2,0.300744,0.001,0.24,0,0.001,0.27,-0.001,-0.39,-0.02,0.00,47
21,Entry short,2025-02-26 13:00,MR-S | IN:TREND,1.50372,0.2,0.300744,0.001,0.24,0,0.001,0.27,-0.001,-0.39,-0.02,0.00,47
22,Exit short,2025-03-03 07:00,RUN EXIT | IN:TREND | OUT:MR,1.50315,0.8,1.202976,0.0005,0.04,0,0.01,0.42,-0.005,-0.39,-0.02,0.00,66
22,Entry short,2025-02-26 13:00,MR-S | IN:TREND,1.50372,0.8,1.202976,0.0005,0.04,0,0.01,0.42,-0.005,-0.39,-0.02,0.00,66
23,Exit short,2025-03-05 01:00,MR FAIL | IN:TREND | OUT:HYBRID,1.5372,1,1.51664,-0.02,-1.36,0,0.001,0.03,-0.02,-1.38,-0.04,0.00,8
23,Entry short,2025-03-04 17:00,MR-S | IN:TREND,1.51664,1,1.51664,-0.02,-1.36,0,0.001,0.03,-0.02,-1.38,-0.04,0.00,8
24,Exit long,2025-03-05 06:00,TF EXIT | IN:HYBRID | OUT:TREND,1.52959,1,1.5372,-0.01,-0.50,0,0.0003,0.02,-0.01,-0.69,-0.04,0.00,5
