Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2024-01-16 10:00,MR TP1 | IN:MR | OUT:MR,4767.8,0.2,955.12,1.56,0.16,0,2.22,0.23,0,0.00,1.56,0.00,4
1,Entry short,2024-01-16 06:00,MR-S | IN:MR,4775.6,0.2,955.12,1.56,0.16,0,2.22,0.23,0,0.00,1.56,0.00,4
2,Exit short,2024-01-18 10:00,RUN EXIT | IN:MR | OUT:MR,4734.7,0.8,3820.48,32.72,0.86,0,49.04,1.28,-5.6,-0.15,34.28,0.03,50
2,Entry short,2024-01-16 06:00,MR-S | IN:MR,4775.6,0.8,3820.48,32.72,0.86,0,49.04,1.28,-5.6,-0.15,34.28,0.03,50
3,Exit short,2024-01-24 06:00,MR FAIL | IN:TREND | OUT:MR,4877.2,1,4855.3,-21.9,-0.45,0,10.5,0.22,-22.6,-0.47,12.38,0.01,34
3,Entry short,2024-01-22 18:00,MR-S | IN:TREND,4855.3,1,4855.3,-21.9,-0.45,0,10.5,0.22,-22.6,-0.47,12.38,0.01,34
4,Exit short,2024-01-26 04:00,MR FAIL | IN:TREND | OUT:MR,4894.4,1,4871.9,-22.5,-0.46,0,10,0.21,-27.6,-0.57,-10.12,-0.01,24
4,Entry short,2024-01-25 03:00,MR-S | IN:TREND,4871.9,1,4871.9,-22.5,-0.46,0,10,0.21,-27.6,-0.57,-10.12,-0.01,24
5,Exit short,2024-01-26 20:00,MR FAIL | IN:MR | OUT:MR,4900.5,1,4876.5,-24,-0.49,0,4.2,0.09,-26,-0.53,-34.12,-0.03,9
5,Entry short,2024-01-26 11:00,MR-S | IN:MR,4876.5,1,4876.5,-24,-0.49,0,4.2,0.09,-26,-0.53,-34.12,-0.03,9
6,Exit short,2024-01-29 21:00,MR FAIL | IN:MR | OUT:MR,4897.8,1,4880.2,-17.6,-0.36,0,0.5,0.01,-18.8,-0.39,-51.72,-0.05,15
6,Entry short,2024-01-29 06:00,MR-S | IN:MR,4880.2,1,4880.2,-17.6,-0.36,0,0.5,0.01,-18.8,-0.39,-51.72,-0.05,15
7,Exit short,2024-01-31 21:00,MR TP1 | IN:HYBRID | OUT:HYBRID,4894,0.2,984.74,5.94,0.60,0,6.38,0.65,-2,-0.20,-45.78,-0.05,22
7,Entry short,2024-01-30 22:00,MR-S | IN:HYBRID,4923.7,0.2,984.74,5.94,0.60,0,6.38,0.65,-2,-0.20,-45.78,-0.05,22
8,Exit short,2024-02-01 22:00,RUN EXIT | IN:HYBRID | OUT:HYBRID,4855.3,0.8,3938.96,54.72,1.39,0,64.4,1.63,-8,-0.20,8.94,0.01,46
8,Entry short,2024-01-30 22:00,MR-S | IN:HYBRID,4923.7,0.8,3938.96,54.72,1.39,0,64.4,1.63,-8,-0.20,8.94,0.01,46
9,Exit short,2024-02-07 06:00,MR FAIL | IN:MR | OUT:MR,4955,1,4946.4,-8.6,-0.17,0,28,0.57,-12.9,-0.26,0.34,0.00,36
9,Entry short,2024-02-05 16:00,MR-S | IN:MR,4946.4,1,4946.4,-8.6,-0.17,0,28,0.57,-12.9,-0.26,0.34,0.00,36
10,Exit short,2024-02-09 22:00,MR FAIL | IN:MR | OUT:TREND,5013.8,1,4990.2,-23.6,-0.47,0,0.5,0.01,-35,-0.70,-23.26,-0.02,21
