Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
1,Exit short,2025-01-15 15:00,MR TP1 | IN:HYBRID | OUT:HYBRID,157.113,0.2,31.4692,0.05,0.15,0,0.13,0.40,0,0.00,0.05,0.00,2
1,Entry short,2025-01-15 13:00,MR-S | IN:HYBRID,157.346,0.2,31.4692,0.05,0.15,0,0.13,0.40,0,0.00,0.05,0.00,2
2,Exit short,2025-01-16 20:00,RUN EXIT | IN:HYBRID | OUT:MR,155.906,0.8,125.8768,1.15,0.92,0,1.71,1.36,0,0.00,1.2,0.00,31
2,Entry short,2025-01-15 13:00,MR-S | IN:HYBRID,157.346,0.8,125.8768,1.15,0.92,0,1.71,1.36,0,0.00,1.2,0.00,31
3,Exit short,2025-01-21 03:00,MR TP1 | IN:MR | OUT:MR,155.613,0.2,31.1282,0.01,0.02,0,0.03,0.10,-0.001,0.00,1.2,0.00,1
3,Entry short,2025-01-21 02:00,MR-S | IN:MR,155.641,0.2,31.1282,0.01,0.02,0,0.03,0.10,-0.001,0.00,1.2,0.00,1
4,Exit short,2025-01-21 19:00,RUN EXIT | IN:MR | OUT:MR,155.82,0.8,124.5128,-0.14,-0.12,0,0.69,0.56,-0.47,-0.38,1.06,0.00,17
4,Entry short,2025-01-21 02:00,MR-S | IN:MR,155.641,0.8,124.5128,-0.14,-0.12,0,0.69,0.56,-0.47,-0.38,1.06,0.00,17
5,Exit long,2025-01-22 18:00,MR TP1 | IN:MR | OUT:MR,155.873,0.2,31.1842,-0.01,-0.03,0,0.04,0.12,-0.07,-0.24,1.05,0.00,8
5,Entry long,2025-01-22 10:00,MR-L | IN:MR,155.921,0.2,31.1842,-0.01,-0.03,0,0.04,0.12,-0.07,-0.24,1.05,0.00,8
6,Exit long,2025-01-23 19:00,RUN EXIT | IN:MR | OUT:MR,156.399,0.8,124.7368,0.38,0.31,0,0.67,0.53,-0.3,-0.24,1.43,0.00,33
6,Entry long,2025-01-22 10:00,MR-L | IN:MR,155.921,0.8,124.7368,0.38,0.31,0,0.67,0.53,-0.3,-0.24,1.43,0.00,33
7,Exit long,2025-01-27 15:00,MR FAIL | IN:MR | OUT:MR,155.134,1,156.065,-0.93,-0.60,0,0.18,0.12,-1.02,-0.65,0.5,0.00,3
7,Entry long,2025-01-27 12:00,MR-L | IN:MR,156.065,1,156.065,-0.93,-0.60,0,0.18,0.12,-1.02,-0.65,0.5,0.00,3
