asset,engine,entry_regime,rows,win_rate,avg_return_pct,avg_mfe_pct,avg_mae_pct
BTCUSD,MR,HYBRID,10,0.3,-0.4699999999999999,1.816,-2.182
BTCUSD,MR,MR,112,0.5535714285714286,0.08723214285714283,1.3330357142857143,-1.3079464285714286
BTCUSD,MR,TREND,11,0.2727272727272727,-1.5872727272727274,2.0336363636363637,-3.236363636363636
BTCUSD,RUNNER,HYBRID,4,0.5,1.5074999999999998,3.785,-1.5924999999999998
BTCUSD,RUNNER,MR,66,0.696969696969697,1.1956060606060606,3.2269696969696966,-0.9822727272727273
BTCUSD,RUNNER,TREND,3,1.0,4.956666666666666,6.6066666666666665,-0.63
BTCUSD,TF,HYBRID,6,0.5,-0.9716666666666667,1.6483333333333334,-1.5233333333333334
ETHUSD,MR,HYBRID,28,0.39285714285714285,0.10964285714285717,2.8010714285714284,-2.91
ETHUSD,MR,MR,188,0.5425531914893617,0.15345744680851062,1.7930319148936171,-1.6793617021276597
ETHUSD,MR,TREND,22,0.45454545454545453,-0.9027272727272727,2.938181818181818,-4.080454545454545
ETHUSD,RUNNER,HYBRID,15,0.8,4.015333333333333,6.970666666666667,-2.5533333333333332
ETHUSD,RUNNER,MR,122,0.5737704918032787,1.1140983606557375,4.165327868852459,-1.5627868852459017
ETHUSD,RUNNER,TREND,10,0.9,4.429,7.522,-2.04
ETHUSD,TF,HYBRID,12,0.25,0.08,3.999166666666667,-2.0366666666666666
EURCAD,MR,HYBRID,15,0.4666666666666667,0.021999999999999995,0.246,-0.21733333333333332
EURCAD,MR,MR,149,0.4899328859060403,-0.00389261744966443,0.1791275167785235,-0.17416107382550336
EURCAD,MR,TREND,14,0.42857142857142855,-0.19,0.2871428571428572,-0.5428571428571428
EURCAD,RUNNER,HYBRID,9,0.8888888888888888,0.26666666666666666,0.56,-0.1622222222222222
EURCAD,RUNNER,MR,84,0.5357142857142857,0.15726190476190474,0.4932142857142857,-0.18654761904761905
EURCAD,RUNNER,TREND,6,1.0,0.20833333333333334,0.6900000000000001,-0.3516666666666666
EURCAD,TF,HYBRID,5,0.4,-0.11000000000000001,0.254,-0.2
GOLD,MR,HYBRID,28,0.5357142857142857,0.3057142857142857,1.082142857142857,-0.6767857142857142
GOLD,MR,MR,168,0.5476190476190477,0.09202380952380954,0.7674404761904763,-0.6311309523809524
GOLD,MR,TREND,21,0.5238095238095238,0.32476190476190475,1.7752380952380953,-1.0461904761904761
GOLD,RUNNER,HYBRID,16,0.625,0.834375,1.928125,-0.609375
GOLD,RUNNER,MR,100,0.75,0.9194,2.06,-0.5207999999999999
GOLD,RUNNER,TREND,10,0.7,2.401,4.64,-0.525
GOLD,TF,HYBRID,9,0.5555555555555556,1.0866666666666667,2.008888888888889,-0.3222222222222222
US500,MR,HYBRID,13,0.6153846153846154,0.21384615384615382,0.7053846153846154,-0.4776923076923077
US500,MR,MR,68,0.5588235294117647,0.15132352941176472,0.6197058823529412,-0.4360294117647059
US500,MR,TREND,32,0.4375,0.00875,0.614375,-0.6793750000000001
US500,RUNNER,HYBRID,8,0.875,1.02375,1.70625,-0.33375
US500,RUNNER,MR,44,0.6818181818181818,0.8809090909090909,1.6852272727272728,-0.3361363636363636
US500,RUNNER,TREND,16,0.8125,0.74875,1.624375,-0.59
US500,TF,HYBRID,2,0.0,-0.495,0.2,-0.5449999999999999
USDJPY,MR,HYBRID,25,0.48,0.026399999999999993,0.49199999999999994,-0.3568
USDJPY,MR,MR,120,0.5166666666666667,0.003833333333333335,0.2704166666666667,-0.25625
USDJPY,MR,TREND,11,0.7272727272727273,0.5272727272727272,0.929090909090909,-0.35818181818181816
USDJPY,RUNNER,HYBRID,13,0.6153846153846154,0.40076923076923077,0.9038461538461539,-0.21538461538461537
USDJPY,RUNNER,MR,70,0.6571428571428571,0.2905714285714286,0.77,-0.24385714285714286
USDJPY,RUNNER,TREND,8,0.875,0.99875,1.42875,-0.27625
USDJPY,TF,HYBRID,7,0.42857142857142855,0.06571428571428571,0.46,-0.19714285714285712
