feature,importance_mean,importance_std
osc_slope_1,0.02971119640516756,0.02858705923407431
cross_count,0.020770923048118298,0.007789995848517595
osc_same_sign_6,0.020583692192473288,0.006491174804079479
er_10,0.013071054109717234,0.009738472556253723
slope_48,0.007606253510578503,0.009191103156838186
osc_slope_3,0.007337109155588786,0.01032478199019252
osc_abs,0.005605223740872481,0.0029976814444738487
rv_72,0.004786088747425504,0.004254467804789324
osc,0.004680771391125271,0.00530829194105109
mom_3,0.004259501965923951,0.007385687709721883
price_direction_24,0.00380312675528921,0.005184456179958551
slope_24,0.0036744055420333266,0.003477265015470779
mom_6,0.003452068900954869,0.005267154869861011
signal,0.0033350496161766996,0.002730112830354281
vol_ratio,0.0024222991949072598,0.0025485231322800194
osc_minus_signal,0.0014744429882044413,0.0024370372304687656
osc_same_sign_12,0.0011116832053922193,0.0032258080338758467
natr,0.0006085002808462747,0.0008694146986054757
price_direction_12,0.0005499906384572179,0.0017942914600972031
ret_1,0.0002106347126006325,0.0008356848470022702
log_ret_1,0.0,0.0
signal_slope_1,0.0,0.0
rv_24,-0.0005733944954128406,0.005824022882091388
atr,-0.0006085002808463302,0.0016031214931233463
range_pct,-0.0007138176371466465,0.0038078406112760834
mom_24,-0.0012755102040817035,0.002343163255378031
rv_12,-0.0013574237034263692,0.0027529144266115846
natr_ref,-0.0015680584160270017,0.0017017356232246332
er_40,-0.0021414529114398284,0.005926203654266346
mom_12,-0.002176558696873318,0.006444140559770639
body_pct,-0.0023403856955626495,0.00490499282548139
er_20,-0.00740732072645571,0.005246732901444899
slope_12,-0.012497659614304421,0.003664479035021517
close_location,-0.012766803969294166,0.008769664420780969
