feature,importance_mean,importance_std
osc_abs,0.038510911424903704,0.012981574820398517
signal,0.023146662387676514,0.016431853025037715
vol_ratio,0.01977695763799739,0.005599961698105714
mom_6,0.018854300385109088,0.010285547493512601
mom_3,0.013358472400513466,0.015692456014598052
slope_48,0.011994544287548092,0.013517863154295068
slope_24,0.011994544287548092,0.008779987959323622
slope_12,0.011312580231065447,0.006477882260729934
er_20,0.011272464698331153,0.004073455323327496
osc,0.004131899871630318,0.006987821820364935
rv_72,0.0037307445442875536,0.006257894529800561
body_pct,0.0030086649550705863,0.013102926822043148
price_direction_12,0.002928433889602025,0.0030379405800955096
price_direction_24,0.0010028883183568482,0.0040193681901814346
mom_24,0.0008825417201540342,0.0024741886946581153
rv_24,0.0008424261874197536,0.0012628430871868622
osc_slope_3,0.0006819640564826174,0.0032548013807034695
osc_minus_signal,4.011553273423896e-05,0.005683254041895268
cross_count,0.0,0.0
log_ret_1,0.0,0.0
osc_same_sign_6,0.0,0.0
signal_slope_1,0.0,0.0
rv_12,-4.011553273429447e-05,0.000760080845695453
mom_12,-0.0003209242618742586,0.005204516925618364
er_40,-0.00048138639281131157,0.008218105280681565
osc_same_sign_12,-0.0006819640564827006,0.005872645453220614
natr_ref,-0.0012836970474968123,0.002713660867344028
natr,-0.002968549422336361,0.003496270630536094
close_location,-0.00549582798459565,0.005254828553826642
osc_slope_1,-0.009988767650834438,0.011101425570018293
range_pct,-0.010149229781771574,0.010646196831752249
ret_1,-0.019897304236200272,0.013205750663388886
atr,-0.019977535301668806,0.006323002074417166
er_10,-0.029003530166880634,0.008826784670577629
