feature,importance_mean,importance_std
ret_1,0.0,0.0
log_ret_1,0.0,0.0
mom_3,0.0,0.0
mom_6,0.0,0.0
mom_12,0.0,0.0
mom_24,0.0,0.0
rv_12,0.0,0.0
rv_24,0.0,0.0
rv_72,0.0,0.0
atr,0.0,0.0
natr,0.0,0.0
natr_ref,0.0,0.0
vol_ratio,0.0,0.0
er_10,0.0,0.0
er_20,0.0,0.0
er_40,0.0,0.0
slope_12,0.0,0.0
slope_24,0.0,0.0
slope_48,0.0,0.0
osc,0.0,0.0
signal,0.0,0.0
osc_minus_signal,0.0,0.0
osc_abs,0.0,0.0
osc_slope_1,0.0,0.0
osc_slope_3,0.0,0.0
signal_slope_1,0.0,0.0
cross_count,0.0,0.0
osc_same_sign_6,0.0,0.0
osc_same_sign_12,0.0,0.0
price_direction_12,0.0,0.0
price_direction_24,0.0,0.0
range_pct,0.0,0.0
body_pct,0.0,0.0
close_location,0.0,0.0
