asset,prev_timestamp_utc,next_timestamp_utc,gap_hours,missing_hours_inside_gap
GOLD,2026-05-22 20:00:00,2026-05-26 04:00:00,80.0,79
GOLD,2025-08-29 20:00:00,2025-09-02 04:00:00,80.0,79
GOLD,2026-01-30 15:00:00,2026-02-02 18:00:00,75.0,74
GOLD,2026-04-02 20:00:00,2026-04-05 22:00:00,74.0,73
GOLD,2025-04-17 20:00:00,2025-04-20 22:00:00,74.0,73
USDJPY,2026-01-30 15:00:00,2026-02-02 20:00:00,77.0,76
USDJPY,2023-12-29 21:00:00,2024-01-01 18:00:00,69.0,68
USDJPY,2026-05-01 20:00:00,2026-05-04 04:00:00,56.0,55
USDJPY,2024-03-15 20:00:00,2024-03-18 00:00:00,52.0,51
USDJPY,2024-10-25 20:00:00,2024-10-28 00:00:00,52.0,51
US500,2025-07-03 15:30:00,2025-07-07 13:30:00,94.0,93
US500,2026-05-22 19:30:00,2026-05-26 13:30:00,90.0,89
US500,2026-04-02 19:30:00,2026-04-06 13:30:00,90.0,89
US500,2026-06-18 19:30:00,2026-06-22 13:30:00,90.0,89
US500,2026-07-02 19:30:00,2026-07-06 13:30:00,90.0,89
BTCUSD,2025-11-28 22:00:00,2025-11-29 19:00:00,21.0,20
BTCUSD,2025-10-28 02:00:00,2025-10-28 14:00:00,12.0,11
BTCUSD,2025-01-02 13:00:00,2025-01-02 15:00:00,2.0,1
BTCUSD,2026-05-08 01:00:00,2026-05-08 03:00:00,2.0,1
ETHUSD,2025-11-28 22:00:00,2025-11-29 19:00:00,21.0,20
ETHUSD,2025-10-28 02:00:00,2025-10-28 14:00:00,12.0,11
ETHUSD,2025-09-16 06:00:00,2025-09-16 09:00:00,3.0,2
ETHUSD,2025-01-02 13:00:00,2025-01-02 15:00:00,2.0,1
ETHUSD,2025-09-15 23:00:00,2025-09-16 01:00:00,2.0,1
EURCAD,2026-01-30 15:00:00,2026-02-02 19:00:00,76.0,75
EURCAD,2023-12-29 22:00:00,2024-01-01 17:00:00,67.0,66
EURCAD,2026-05-01 21:00:00,2026-05-04 04:00:00,55.0,54
EURCAD,2024-03-15 21:00:00,2024-03-18 00:00:00,51.0,50
EURCAD,2024-10-25 21:00:00,2024-10-28 00:00:00,51.0,50
