asset,first_missing_open_bar_utc,last_missing_open_bar_utc,missing_open_bars,recoverable_by_yahoo_730d,calendar
BTCUSD,2026-09-11 22:00:00,2026-09-11 23:00:00,2,True,24/7
ETHUSD,2026-09-11 22:00:00,2026-09-11 23:00:00,2,True,24/7
SOLUSD,2026-09-11 22:00:00,2026-09-11 23:00:00,2,True,24/7
XRPUSD,2026-09-11 22:00:00,2026-09-11 23:00:00,2,True,24/7
ADAUSD,2026-09-11 22:00:00,2026-09-11 23:00:00,2,True,24/7
DOGEUSD,2026-09-11 22:00:00,2026-09-11 23:00:00,2,True,24/7
LTCUSD,2026-09-11 22:00:00,2026-09-11 23:00:00,2,True,24/7
BCHUSD,2026-09-11 22:00:00,2026-09-11 23:00:00,2,True,24/7
DOTUSD,2026-09-11 22:00:00,2026-09-11 23:00:00,2,True,24/7
LINKUSD,2026-09-11 22:00:00,2026-09-11 23:00:00,2,True,24/7
BNBUSD,2026-09-11 22:00:00,2026-09-11 23:00:00,2,True,24/7
AVAXUSD,2026-09-11 22:00:00,2026-09-11 23:00:00,2,True,24/7
