threshold,total_candidates,trades_kept,percent_kept,win_rate,avg_return_pct,median_return_pct,profit_factor,cumulative_return,worst_trade_pct,p05_return,average_mae,worst_mae,max_drawdown
0.25,885,335,37.85,0.6806,0.3354,0.25,1.676,112.37,-13.23,-3.418,-0.8935,-13.8,-0.26
0.275,885,358,40.45,0.6788,0.3318,0.255,1.672,118.79,-13.23,-3.446,-0.9158,-13.8,0.0
0.3,885,386,43.62,0.6736,0.2899,0.225,1.583,111.92,-13.23,-3.355,-0.9173,-13.8,0.0
0.325,885,406,45.88,0.6675,0.2726,0.205,1.542,110.69,-13.23,-3.4225,-0.9271,-13.8,0.0
0.35,885,422,47.68,0.6588,0.2625,0.19,1.508,110.76,-13.23,-3.4495,-0.951,-13.8,0.0
0.375,885,449,50.73,0.6503,0.2582,0.18,1.505,115.92,-13.23,-3.446,-0.9428,-13.8,0.0
0.4,885,467,52.77,0.6424,0.2672,0.16,1.529,124.77,-13.23,-3.419,-0.9384,-13.8,-1.37
0.425,885,486,54.92,0.6337,0.2593,0.15,1.506,126.01,-13.23,-3.4225,-0.9584,-13.8,-1.37
0.45,885,502,56.72,0.6335,0.25,0.155,1.483,125.52,-13.23,-3.4365,-0.9664,-13.8,-1.91
0.475,885,522,58.98,0.6303,0.2299,0.145,1.44,120.01,-13.23,-3.367,-0.9658,-13.8,-1.85
0.5,885,541,61.13,0.6248,0.2031,0.14,1.38,109.86,-13.23,-3.37,-0.9743,-13.8,-2.06
0.525,885,562,63.5,0.6228,0.2309,0.14,1.44,129.79,-13.23,-3.3015,-0.977,-13.8,-2.4
0.55,885,582,65.76,0.6117,0.1997,0.13,1.374,116.22,-13.23,-3.3015,-0.9823,-13.8,-6.21
0.575,885,597,67.46,0.6047,0.1777,0.12,1.326,106.07,-13.23,-3.322,-0.9953,-13.8,-8.85
0.6,885,621,70.17,0.6006,0.1832,0.12,1.342,113.74,-13.23,-3.14,-1.0014,-13.8,-9.35
0.625,885,648,73.22,0.5926,0.1786,0.11,1.341,115.76,-13.23,-3.0665,-0.9866,-13.8,-9.91
0.65,885,666,75.25,0.5886,0.1806,0.11,1.347,120.31,-13.23,-3.055,-0.9796,-13.8,-9.67
