engine,target,balanced_accuracy,brier,roc_auc,pr_auc,fold,train_rows,test_rows,test_start,test_end,mae_return_pct,mean_actual,mean_pred
MR,is_win,0.5926327885597549,0.27810770214944686,0.6230847803881513,0.647162310942033,0,150,177,2025-01-31,2025-05-22,,,
MR,is_win,0.5927203065134099,0.2475876977983997,0.664367816091954,0.703059126057723,1,327,177,2025-05-22,2025-10-07,,,
MR,is_win,0.6216475095785441,0.23830118267768394,0.6930395913154533,0.6466749207766637,2,504,177,2025-10-07,2026-02-02,,,
MR,is_win,0.7206493506493507,0.19441253899056177,0.772987012987013,0.8131121735986561,3,681,177,2026-02-02,2026-05-20,,,
MR,is_win,0.5831197128941297,0.23295994681465176,0.6752114842348115,0.7365755605900228,4,858,177,2026-05-20,2026-08-28,,,
MR,is_mr_fail,0.6109168609168609,0.23484666037399352,0.7307692307692308,0.6382580738762855,0,150,177,2025-01-31,2025-05-22,,,
MR,is_mr_fail,0.6680392156862744,0.22863879595499656,0.703921568627451,0.6680762053834891,1,327,177,2025-05-22,2025-10-07,,,
MR,is_mr_fail,0.6599051633298209,0.20765661833700902,0.7481559536354055,0.6767094038887629,2,504,177,2025-10-07,2026-02-02,,,
MR,is_mr_fail,0.6676904176904177,0.19160618149911118,0.7702702702702703,0.6304613715069456,3,681,177,2026-02-02,2026-05-20,,,
MR,is_mr_fail,0.659472579375492,0.19559002085369045,0.7618735240094464,0.6767928595190049,4,858,177,2026-05-20,2026-08-28,,,
RUNNER,is_win,0.5260071392146864,0.31540412334778,0.5772565017848037,0.6458632543184099,0,150,90,2025-04-10,2025-07-31,,,
RUNNER,is_win,0.6458333333333334,0.20311130300695093,0.6357323232323232,0.8027111211824057,1,240,90,2025-08-01,2025-12-01,,,
RUNNER,is_win,0.5765969474279253,0.23687747471305726,0.6568682871678915,0.828206854185084,2,330,90,2025-12-02,2026-03-01,,,
RUNNER,is_win,0.6244019138755981,0.2491749471247528,0.6055289739500265,0.6898665217754136,3,420,90,2026-03-01,2026-05-26,,,
RUNNER,is_win,0.6433982683982684,0.19398416105535501,0.6839826839826839,0.8192062063205854,4,510,94,2026-05-28,2026-08-28,,,
RUNNER,return_pct,,,,,0,150,90,2025-04-10,2025-07-31,1.389867648635036,0.7024444444444444,0.5838119032483594
RUNNER,return_pct,,,,,1,240,90,2025-08-01,2025-12-01,0.9687360556154355,0.9475555555555556,0.6272423911805581
RUNNER,return_pct,,,,,2,330,90,2025-12-02,2026-03-01,1.4094944075627844,1.2873333333333332,0.6966017780353955
RUNNER,return_pct,,,,,3,420,90,2026-03-01,2026-05-26,1.3493997256158363,0.9727777777777779,0.7511072404596313
RUNNER,return_pct,,,,,4,510,94,2026-05-28,2026-08-28,1.0628684105849773,0.9508510638297872,0.7528549222355335
MR,return_pct,,,,,0,150,177,2025-01-31,2025-05-22,1.2700504992058002,0.038022598870056504,-0.07005203239907476
MR,return_pct,,,,,1,327,177,2025-05-22,2025-10-07,0.9559844311831228,0.06807909604519774,0.005795091303906753
MR,return_pct,,,,,2,504,177,2025-10-07,2026-02-02,1.2707919358838526,-0.07531073446327687,-0.03360134767657256
MR,return_pct,,,,,3,681,177,2026-02-02,2026-05-20,1.0489052098704588,0.35649717514124296,0.08969969829487863
MR,return_pct,,,,,4,858,177,2026-05-20,2026-08-28,0.9554201002660402,-0.12559322033898307,-0.004477932668863391
